epoch,loss,val_loss
0,0.7313738465309143,0.9255916476249695
1,0.6118977069854736,0.9826957583427429
2,0.4516567289829254,0.9577416181564331
3,0.3880815804004669,0.9653396010398865
4,0.4209914803504944,0.9741040468215942
5,0.402279794216156,0.9655201435089111
6,0.393576443195343,0.9214205145835876
7,0.32269948720932007,0.9579517841339111
8,0.3082762062549591,0.9488896727561951
9,0.18917591869831085,0.9542617797851562
10,0.2614530324935913,0.9614035487174988
11,0.18248389661312103,0.9741860628128052
12,0.14579226076602936,0.8996718525886536
13,0.17476260662078857,0.9478870034217834
14,0.1225292980670929,0.9308140277862549
15,0.10918314009904861,0.9462912082672119
16,0.11334188282489777,0.9536247849464417
17,0.19233770668506622,0.978924036026001
18,0.11670494079589844,0.9664759039878845
19,0.0869128480553627,0.9656787514686584
